im_nbs,hidden_scrs,overf_best_scrs,best_ims
01_threshold_0.09,0.671379809,0.689854852,25_training
01_threshold_0.18,0.738988581,0.771504632,24_training
01_threshold_0.27,0.781378162,0.818239576,24_training
01_threshold_0.36,0.811600282,0.789508049,24_training
01_threshold_0.45,0.828494778,0.801434489,33_training
01_threshold_0.54,0.830893144,0.808319846,21_training
01_threshold_0.63,0.816944024,0.772237369,33_training
01_threshold_0.72,0.784804688,0.759376334,21_training
01_threshold_0.81,0.723613633,0.77072174,24_training
01_threshold_0.9,0.614881745,0.683718554,36_training
02_threshold_0.09,0.715706755,0.756946972,24_training
02_threshold_0.18,0.78220501,0.773883437,24_training
02_threshold_0.27,0.821119237,0.771931128,24_training
02_threshold_0.36,0.844366022,0.790519859,24_training
02_threshold_0.45,0.855024014,0.780989036,24_training
02_threshold_0.54,0.851348223,0.777347652,24_training
02_threshold_0.63,0.833809718,0.795236796,24_training
02_threshold_0.72,0.798514039,0.788476512,33_training
02_threshold_0.81,0.742200872,0.791391654,21_training
02_threshold_0.9,0.646708263,0.770113516,24_training
03_threshold_0.09,0.722339603,0.708864298,25_training
03_threshold_0.18,0.780359606,0.766547932,36_training
03_threshold_0.27,0.805994957,0.772680657,24_training
03_threshold_0.36,0.810823841,0.791211863,36_training
03_threshold_0.45,0.804913295,0.761617788,36_training
03_threshold_0.54,0.782641445,0.792235609,40_training
03_threshold_0.63,0.748648895,0.749204296,26_training
03_threshold_0.72,0.694372631,0.753830837,40_training
03_threshold_0.81,0.618993064,0.75656848,40_training
03_threshold_0.9,0.506574771,0.659184302,40_training
04_threshold_0.09,0.725619102,0.773425394,24_training
04_threshold_0.18,0.786430354,0.812737321,24_training
04_threshold_0.27,0.818271224,0.81961001,24_training
04_threshold_0.36,0.835306574,0.82382974,24_training
04_threshold_0.45,0.835393734,0.814190027,36_training
04_threshold_0.54,0.824443811,0.79728598,24_training
04_threshold_0.63,0.799638649,0.788943841,24_training
04_threshold_0.72,0.760293737,0.785127025,21_training
04_threshold_0.81,0.694530202,0.754279201,35_training
04_threshold_0.9,0.597527789,0.766566238,35_training
05_threshold_0.09,0.711597941,0.79727853,24_training
05_threshold_0.18,0.780296934,0.74737997,32_training
05_threshold_0.27,0.81072873,0.72727027,24_training
05_threshold_0.36,0.82326852,0.707370334,22_training
