im_nbs,hidden_scrs,overf_best_scrs,best_ims
08_threshold_0.09,0.697394065335519,0.8035537511121136,24_training
08_threshold_0.18,0.770899525632121,0.8169381454274459,24_training
08_threshold_0.27,0.8046922903152935,0.7647812047656163,24_training
08_threshold_0.36,0.8153758167102824,0.7872146949167955,23_training
08_threshold_0.45,0.8096368559664676,0.7666095013251966,21_training
08_threshold_0.54,0.7913524185587364,0.7711313703553832,23_training
08_threshold_0.63,0.7570009033423668,0.7719043908450066,22_training
08_threshold_0.72,0.7045139354896435,0.7543601596974154,40_training
08_threshold_0.81,0.6256553316338801,0.7805095791597478,35_training
08_threshold_0.9,0.4987180503792985,0.2873945724803622,24_training
09_threshold_0.09,0.7028626745954917,0.6996465702892354,24_training
09_threshold_0.18,0.7719159939455096,0.7974688002629818,24_training
09_threshold_0.27,0.8083704240416796,0.8138285561145558,24_training
09_threshold_0.36,0.8206983561542173,0.7958377639374146,24_training
09_threshold_0.45,0.8126317464105317,0.7873801085528761,24_training
09_threshold_0.54,0.7841918105742819,0.8063771274387713,24_training
09_threshold_0.63,0.7382516652979286,0.7850124203081216,24_training
09_threshold_0.72,0.6785940314492965,0.7967161115775725,24_training
09_threshold_0.81,0.5894184061966653,0.7844283780280554,24_training
09_threshold_0.9,0.46154288507432645,0.2873945724803622,24_training
10_threshold_0.09,0.6740803885100227,0.7830920616898477,24_training
10_threshold_0.18,0.7486068020409063,0.8100997021882688,24_training
10_threshold_0.27,0.788323037034666,0.808721123024207,24_training
10_threshold_0.36,0.8098300887390796,0.7572121521572632,22_training
10_threshold_0.45,0.8171180453341184,0.7643531827515401,36_training
10_threshold_0.54,0.8092442419839384,0.7803305922418805,35_training
10_threshold_0.63,0.7861218518131466,0.7540360873694207,40_training
10_threshold_0.72,0.7444499039621209,0.7625471330126121,35_training
10_threshold_0.81,0.6744566262742835,0.7113843922059939,37_training
10_threshold_0.9,0.5643997260706949,0.2873945724803622,24_training
11_threshold_0.09,0.6551156645496268,0.7829927966293662,24_training
11_threshold_0.18,0.7304641305358828,0.8133830329580243,24_training
11_threshold_0.27,0.772183159974432,0.8142098255343098,24_training
11_threshold_0.36,0.7982930565542251,0.8001429513965251,24_training
11_threshold_0.45,0.813549691672655,0.8051507689823598,21_training
11_threshold_0.54,0.8104052203908181,0.789522484932777,21_training
11_threshold_0.63,0.7903846518417411,0.7695346164895145,22_training
11_threshold_0.72,0.75494087153734,0.780783722682743,35_training
11_threshold_0.81,0.6946599726152441,0.727391282540001,35_training
11_threshold_0.9,0.5926066620764976,0.7133558857534363,29_training
12_threshold_0.09,0.6914994273193567,0.8091220867649636,24_training
12_threshold_0.18,0.7617071974209826,0.8116746081255061,24_training
12_threshold_0.27,0.8027398924698521,0.8099105445748541,24_training
12_threshold_0.36,0.8245554202192448,0.783844257271937,24_training
12_threshold_0.45,0.8335582079225048,0.7835763188170725,33_training
12_threshold_0.54,0.8271948410870567,0.7810254518627813,24_training
12_threshold_0.63,0.8024230027927467,0.7862276790259198,21_training
12_threshold_0.72,0.7562294112678436,0.7526315789473684,28_training
12_threshold_0.81,0.6852054295344812,0.5270517847185959,36_training
12_threshold_0.9,0.5700292361128464,0.2873881326615026,24_training
13_threshold_0.09,0.6997135582431572,0.778349707942618,24_training
13_threshold_0.18,0.7656335938399356,0.8049600185421254,24_training
13_threshold_0.27,0.8028848821081831,0.8303842856029309,24_training
13_threshold_0.36,0.8232035972722671,0.8156900479701142,24_training
13_threshold_0.45,0.8286810886252617,0.8231162956790858,21_training
13_threshold_0.54,0.8175307934689201,0.8153422535817235,21_training
13_threshold_0.63,0.7872957867583835,0.7987267384916749,21_training
13_threshold_0.72,0.7419821741448922,0.7948034147286245,36_training
13_threshold_0.81,0.6725804478159795,0.7640731753489253,37_training
13_threshold_0.9,0.5671588843066826,0.2873945724803622,24_training
14_threshold_0.09,0.654671297631437,0.7822962251396449,24_training
14_threshold_0.18,0.7344666723906013,0.8004758585882862,24_training
14_threshold_0.27,0.7835660999984361,0.7975520869146668,24_training
14_threshold_0.36,0.8147100424328148,0.8181187431856477,24_training
14_threshold_0.45,0.8310130571814498,0.7778882557650388,33_training
14_threshold_0.54,0.8298069140941149,0.7816016866110401,24_training
14_threshold_0.63,0.8115768627774569,0.7774865004145101,21_training
14_threshold_0.72,0.7744622708039492,0.7744847815321321,35_training
14_threshold_0.81,0.7113960113960114,0.7722646598816783,21_training
14_threshold_0.9,0.6038247801925435,0.724777835859906,28_training
15_threshold_0.09,0.6490600950418437,0.7711757744256382,32_training
15_threshold_0.18,0.7333796243964668,0.7730796898729119,26_training
15_threshold_0.27,0.7795755781161873,0.7683045053319046,26_training
15_threshold_0.36,0.807689393939394,0.7622092304431531,26_training
15_threshold_0.45,0.8201681354830849,0.7789944967820166,40_training
15_threshold_0.54,0.8184206526695182,0.786174455465794,35_training
15_threshold_0.63,0.7984186046511628,0.7671306209850107,29_training
15_threshold_0.72,0.7593582887700535,0.769104194009677,29_training
15_threshold_0.81,0.6919616239362567,0.7581574271152682,29_training
